name,country,type,alt_name_1,alt_name_2,alt_name_3,alt_name_4,alt_name_5,alt_name_6,alt_name_7,alt_name_8,alt_name_9,alt_name_10
University of Warwick,UK,Academia,Univ of Warwick,Univ. of Warwick,,,,,,,,
University of York,UK,Academia,Univ of York,Univ. of York,,,,,,,,
Western University,UK,Academia,,,,,,,,,,
Heriot-Watt University,UK,Academia,,,,,,,,,,
University of Manchester,UK,Academia,,,,,,,,,,
University of Aberdeen,UK,Academia,,,,,,,,,,
Barclays,UK,Company,BZW Barclays Global Investors,,,,,,,,,
Prowler.io,UK,Company,PROWLER.io,,,,,,,,,
Alan Turing Institute,UK,Government,,,,,,,,,,
Defence Evaluation & Research Agency,UK,Government,,,,,,,,,,
Szkocka Research Group,Ukraine,Independent Research,,,,,,,,,,
"Universidad de la Rep´ublica, Uruguay",Uruguay,Academia,"Universidad de la República, Uruguay",,,,,,,,,
Arizona State University,US,Academia,ASU,"Arizona State Univerisity,",,,,,,,,
Boston University,US,Academia,,,,,,,,,,
Brandeis University,US,Academia,,,,,,,,,,
Brigham Young University,US,Academia,BYU,,,,,,,,,
Brown University,US,Academia,,,,,,,,,,
Caltech,US,Academia,California Institute of Technology,California Instit ute of Technology,,,,,,,,
